Título,Desenvolvedor,Publicador,Exclusivo,Europa,Japão,América Do Norte,Brasil,Referências
Aaru's Awakening,Lumenox Games,Lumenox Games,Console,2014,Não definido,2014,2014,[4]
Aban Hawkins e The 1.001 Spikes,8bits Fanatics,Nicalis,Não,Não definido,Não definido,2014,2014,[5]
Abzû,Giant Squid,505 Games,Console,Não definido,Não definido,Não definido,Não definido,[6]
Akiba's Trip: Undead e Undressed,Acquire,Acquire,Sony,2015,2014,2015,2014,[7]
Alienation,Housemarque,Sony Computer Entertainment,Sim,2015,2015,2015,2015,[8]
Alien: Isolation,Creative Assembly,Sega,Não,2014,2014,2014,2014,[9]
Alpha Muse,Current Circus,Current Circus,Não,Não definido,Não definido,Não definido,Não definido,Não definido
Among The Sleep,Krillbite Studio,Krillbite Studio,Não,Não definido,Não definido,Não definido,Não definido,[10]
Angry Birds Star Wars,Exient Entertainment,Activision,Não,2013,Não definido,2013,2013,[11]
Anoko Wa Ore Kara Hanarenai,Giga,TGL,Não,—,2014,—,—,[12]
Anomaly 2,11 Bit Studio,Não definido,Não,Não definido,Não definido,Não definido,Não definido,[13]
Another World,The Digital Lounge,The Digital Lounge,Não,2014,Não definido,2014,2014,[14]
Apotheon,Alien Trap Games,Alien Trap Games,Console,2014,2014,2014,2014,[15]
Assassin's Creed IV: Black Flag,Ubisoft Montreal,Ubisoft,Não,2013,Não definido,2013,2013,[16][17]
Assassin's Creed Odyssey,Ubisoft Montreal,Ubisoft,Não,2018,2018,2018,2018,Não definido
Assassin's Creed Origins,Ubisoft Montreal,Ubisoft,Não,2017,2017,2017,2017,Não definido
Assassin's Creed Unity,Ubisoft Toronto,Ubisoft,Não,2014,2014,2014,2014,[16][17]
Assassin's Creed Syndicate,Ubisoft Quebec,Ubisoft,Não,2015,2015,2015,2015,Não definido
Assault Android Cactus,Witch Beam,Witch Beam,Não,Não definido,Não definido,Não definido,Não definido,[18]
Assault Suit Leynos,Dracue Software,Extreme Co.,Não,Não definido,Não definido,Não definido,Não definido,[19]
Awesomenauts,Abstraction Games,Ronimo Games,Não,2014,Não definido,2014,2014,[20]
Axiom Verge,Thomas Happ Games,Thomas Happ Games,Sony,2015,2015,2015,2015,[21]
Aztez,Team Colorblind,Team Colorblind,Não,2014,2014,2014,2014,[22][23]
Backgammon Blitz,VooFoo Studios,VooFoo Studios,Sony,2013,2013,Não definido,Não definido,[24]
Baja: Edge of Control HD,2XL Games / BlitWorks,THQ Nordic,Não,2017,2017,2017,2017,Não definido
Batman: Arkham Knight,Rocksteady Studios,Warner Bros. Interactive Entertainment,Não,2015,2015,2015,2015,[25]
Basement Crawl,Bloober Team,Bloober Team,Sim,2014,2014,2014,2014,[26]
Battleborn,Gearbox Software,2K Games,Não,Não definido,Não definido,Não definido,Não definido,[27]
Battlefield 4,DICE,Electronic Arts,Não,2013,2014,2013,2013,[28]
Battlefield: Hardline,Visceral Games,Electronic Arts,Não,2015,2015,2015,2015,[29]
Beyond: Flesh and Blood,Pixelbomb,Pixelbomb,Não,Não definido,Não definido,Não definido,Não definido,Não definido
Bladestorm: The Hundred Years’ War & Nightmare,Koei Tecmo,Koei Tecmo,Não,Não definido,2014,Não definido,Não definido,[30]
Blast 'Em Bunnies,Nnooo,Nnooo,Console,2014,2014,2014,2014,[31]
Bloodborne,From Software,Sony Computer Entertainment,Sim,2015,2015,2015,2015,[32][33]
